2020-12-08 19:12:400 INFO  BasePage :29 - Launching Chrome Browser
2020-12-08 19:12:807 INFO  HomePage :24 - Clicking on Login link : [[ChromeDriver: chrome on WINDOWS (bb5e059889b4a2aaa0a20da5b73e0ee5)] -> link text: Log in]
2020-12-08 19:12:841 INFO  LoginPage :50 - Getting text from : [[ChromeDriver: chrome on WINDOWS (bb5e059889b4a2aaa0a20da5b73e0ee5)] -> xpath: //div[@class='page-title']//h1]
2020-12-08 19:12:535 INFO  BasePage :29 - Launching Chrome Browser
2020-12-08 19:12:942 INFO  HomePage :30 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (b9144b06e38191f16696b9366cb11208)] -> xpath: //a[@class='ico-register']]
2020-12-08 19:12:81 INFO  BasePage :29 - Launching Chrome Browser
2020-12-08 19:12:494 INFO  HomePage :24 - Clicking on Login link : [[ChromeDriver: chrome on WINDOWS (e55b0e5cc8b7498684bf6ba8086bbf4b)] -> link text: Log in]
2020-12-08 19:12:527 INFO  LoginPage :50 - Getting text from : [[ChromeDriver: chrome on WINDOWS (e55b0e5cc8b7498684bf6ba8086bbf4b)] -> xpath: //div[@class='page-title']//h1]
2020-12-08 19:12:758 INFO  BasePage :29 - Launching Chrome Browser
2020-12-08 19:12:933 INFO  HomePage :24 - Clicking on Login link : [[ChromeDriver: chrome on WINDOWS (89093fda5df7f65bb135a6f5eb8f904b)] -> link text: Log in]
2020-12-08 19:12:201 INFO  LoginPage :33 - Entering email address : abcd@yahoo.com to email field : [[ChromeDriver: chrome on WINDOWS (89093fda5df7f65bb135a6f5eb8f904b)] -> id: Email]
2020-12-08 19:12:632 INFO  BasePage :29 - Launching Chrome Browser
2020-12-08 19:12:601 INFO  BasePage :29 - Launching Chrome Browser
2020-12-08 19:12:89 INFO  HomePage :24 - Clicking on Login link : [[ChromeDriver: chrome on WINDOWS (0e7ef36389e5b1bb73a4b32538800be5)] -> link text: Log in]
2020-12-08 19:12:202 INFO  LoginPage :33 - Entering email address : abcd@yahoo.com to email field : [[ChromeDriver: chrome on WINDOWS (0e7ef36389e5b1bb73a4b32538800be5)] -> id: Email]
2020-12-08 19:12:891 INFO  BasePage :29 - Launching Chrome Browser
2020-12-08 19:12:320 INFO  HomePage :24 - Clicking on Login link : [[ChromeDriver: chrome on WINDOWS (3f35b155315caeaa0adba26b0fab2f6b)] -> link text: Log in]
2020-12-08 19:12:401 INFO  BasePage :29 - Launching Chrome Browser
2020-12-08 19:12:916 INFO  HomePage :24 - Clicking on Login link : [[ChromeDriver: chrome on WINDOWS (c96436567bcef54e52b75cbd063702bb)] -> link text: Log in]
2020-12-08 19:12:23 INFO  BasePage :29 - Launching Chrome Browser
2020-12-08 19:12:852 INFO  HomePage :24 - Clicking on Login link : [[ChromeDriver: chrome on WINDOWS (e06257467b9aca09560daf972a459719)] -> link text: Log in]
2020-12-08 19:12:06 INFO  LoginPage :34 - Entering email address : abcd@yahoo.com to email field : [[ChromeDriver: chrome on WINDOWS (e06257467b9aca09560daf972a459719)] -> id: Email]
2020-12-08 19:12:133 INFO  BasePage :29 - Launching Chrome Browser
2020-12-08 19:12:695 INFO  HomePage :24 - Clicking on Login link : [[ChromeDriver: chrome on WINDOWS (0245142d9430809b28f8b248ff57d549)] -> link text: Log in]
2020-12-08 19:12:416 INFO  LoginPage :34 - Entering email address : abcd@yahoo.com to email field : [[ChromeDriver: chrome on WINDOWS (0245142d9430809b28f8b248ff57d549)] -> id: Email]
2020-12-08 19:12:832 INFO  BasePage :29 - Launching Chrome Browser
2020-12-08 19:12:37 INFO  BasePage :29 - Launching Chrome Browser
2020-12-08 19:12:156 INFO  HomePage :30 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (ed478e1a7f9986a62c3aa513e5362b7e)] -> xpath: //a[@class='ico-register']]
2020-12-08 19:12:196 INFO  RegistrationPage :42 - Clicking on male option radio button[[ChromeDriver: chrome on WINDOWS (ed478e1a7f9986a62c3aa513e5362b7e)] -> xpath: //label[contains(text(),'Male')]]
2020-12-08 19:12:300 INFO  RegistrationPage :48 - Enter first nameKaveer to first name field[[ChromeDriver: chrome on WINDOWS (ed478e1a7f9986a62c3aa513e5362b7e)] -> css selector: #FirstName]
2020-12-08 19:12:790 INFO  RegistrationPage :54 - Enter last nameKumar to last name field [[ChromeDriver: chrome on WINDOWS (ed478e1a7f9986a62c3aa513e5362b7e)] -> css selector: #LastName]
2020-12-08 19:12:982 INFO  RegistrationPage :60 - Enter Day[[ChromeDriver: chrome on WINDOWS (ed478e1a7f9986a62c3aa513e5362b7e)] -> xpath: //body/div[6]/div[3]/div[1]/div[1]/div[1]/div[2]/form[1]/div[1]/div[2]/div[4]/div[1]/select[1]]
2020-12-08 19:12:98 INFO  RegistrationPage :66 - Enter Month[[ChromeDriver: chrome on WINDOWS (ed478e1a7f9986a62c3aa513e5362b7e)] -> xpath: //body/div[6]/div[3]/div[1]/div[1]/div[1]/div[2]/form[1]/div[1]/div[2]/div[4]/div[1]/select[2]]
2020-12-08 19:12:406 INFO  RegistrationPage :72 - Enter YearProxy element for: DefaultElementLocator 'By.xpath: /body/div[6]/div[3]/div[1]/div[1]/div[1]/div[2]/form[1]/div[1]/div[2]/div[4]/div[1]/select[3]'
2020-12-08 19:12:77 INFO  BasePage :29 - Launching Chrome Browser
2020-12-08 19:12:492 INFO  HomePage :30 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (24ea50f54fa4200a4b1227275e55c6c7)] -> xpath: //a[@class='ico-register']]
2020-12-08 19:12:542 INFO  RegistrationPage :42 - Clicking on male option radio button[[ChromeDriver: chrome on WINDOWS (24ea50f54fa4200a4b1227275e55c6c7)] -> xpath: //label[contains(text(),'Male')]]
2020-12-08 19:12:656 INFO  RegistrationPage :48 - Enter first nameKaveer to first name field[[ChromeDriver: chrome on WINDOWS (24ea50f54fa4200a4b1227275e55c6c7)] -> css selector: #FirstName]
2020-12-08 19:12:832 INFO  RegistrationPage :54 - Enter last nameKumar to last name field [[ChromeDriver: chrome on WINDOWS (24ea50f54fa4200a4b1227275e55c6c7)] -> css selector: #LastName]
2020-12-08 19:12:984 INFO  RegistrationPage :60 - Enter Day[[ChromeDriver: chrome on WINDOWS (24ea50f54fa4200a4b1227275e55c6c7)] -> xpath: //body/div[6]/div[3]/div[1]/div[1]/div[1]/div[2]/form[1]/div[1]/div[2]/div[4]/div[1]/select[1]]
2020-12-08 19:12:126 INFO  RegistrationPage :66 - Enter Month[[ChromeDriver: chrome on WINDOWS (24ea50f54fa4200a4b1227275e55c6c7)] -> xpath: //body/div[6]/div[3]/div[1]/div[1]/div[1]/div[2]/form[1]/div[1]/div[2]/div[4]/div[1]/select[2]]
2020-12-08 19:12:276 INFO  RegistrationPage :72 - Enter Year[[ChromeDriver: chrome on WINDOWS (24ea50f54fa4200a4b1227275e55c6c7)] -> xpath: //body/div[6]/div[3]/div[1]/div[1]/div[1]/div[2]/form[1]/div[1]/div[2]/div[4]/div[1]/select[3]]
2020-12-08 19:12:398 INFO  RegistrationPage :78 - Enter email kaveer-568979601gmail.comto email field [[ChromeDriver: chrome on WINDOWS (24ea50f54fa4200a4b1227275e55c6c7)] -> css selector: #Email]
2020-12-08 19:12:606 INFO  RegistrationPage :84 - Enter company nameRaj Consultantsto company field[[ChromeDriver: chrome on WINDOWS (24ea50f54fa4200a4b1227275e55c6c7)] -> css selector: #Company]
2020-12-08 19:12:798 INFO  RegistrationPage :90 - Click on NewsLetter checkbox[[ChromeDriver: chrome on WINDOWS (24ea50f54fa4200a4b1227275e55c6c7)] -> css selector: #Newsletter]
2020-12-08 19:12:920 INFO  RegistrationPage :96 - password email 123456to password field [[ChromeDriver: chrome on WINDOWS (24ea50f54fa4200a4b1227275e55c6c7)] -> css selector: #Password]
2020-12-08 19:12:294 INFO  RegistrationPage :102 - Enter confirm password 123456to confirm password field [[ChromeDriver: chrome on WINDOWS (24ea50f54fa4200a4b1227275e55c6c7)] -> css selector: #ConfirmPassword]
2020-12-08 19:12:466 INFO  RegistrationPage :108 - Click ON register button[[ChromeDriver: chrome on WINDOWS (24ea50f54fa4200a4b1227275e55c6c7)] -> xpath: //input[@id='register-button']]
